name,brand,uid,price,description,image_url,category
Элемент нагревательный (ТЭН) 1800Вт водонагревателя,ARISTON,65108913,2200,Нагревательный элемент 1800w230v  Основные характеристики:  Мощность - 1800Вт Резьба крепления - М5 Фланец - прижимной Диаметр фланца - 48мм Медный ТЭН изогнутый,https://www.bliz.ru/data/image/catalog/e5e8eb3c-c31b-11e5-b9bd-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
Форсунка (жиклер) газовой плиты,HANSA,8041433,200,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/8a1633f5-ecdd-11e5-9518-50e549439ffb.JPEG,"Электрические, газовые плиты, духовые шкафы и варочные панели"
Шампур шашлычницы электроплиты,GEFEST,3102.00.0.030,200,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/ea515f5a-116a-11e8-a7ca-0080482c1b0a.JPEG,"Электрические, газовые плиты, духовые шкафы и варочные панели"
Фиксатор среднего стекла двери духовки,HANSA,8051129,250,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/8686103e-3f36-11e6-bb38-50e549439ffb.JPEG,"Электрические, газовые плиты, духовые шкафы и варочные панели"
Элемент нагревательный (ТЭН) 1500Вт водонагревателя,ARISTON,816707,1300,"Нагревательный элемент (ТЭН) для водонагревателя Ariston  Характеристики ТЭНа:  Мощность - 1500 Вт  Резьба крепления - M5  Замены кода: 816616, 816600",https://www.bliz.ru/data/image/catalog/abd4ef88-c311-11e5-b9bd-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
Элемент нагревательный (ТЭН) 1200Вт водонагревателя,ARISTON,65103765,2300,Нагревательный элемент ТЭН  Основные характеристики:  Мощность - 1200W  Напряжение - 220V  Материал оболочки - Нержавеющая сталь Установочный габарит - 140мм.  Тип фланца - Прижимной  Размеры фланца - 90х65мм.  Тип контактов - Клеммы  Резьба крепления - М4,https://www.bliz.ru/data/image/catalog/fddcafa6-c316-11e5-b9bd-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
Мотор стиральной машины,WHIRLPOOL,481288818159,5500,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/817c8429-7733-11e6-9d4e-50e549439ffb.JPEG,Стиральные машины
Осушитель холодильника,LG,ADH69749102,300,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/996abbd6-3dab-11ea-a788-0080482c1b0a.JPEG,"Холодильные, морозильные шкафы, винотеки"
Выключатель сетевой стиральной машины,HANSA,1032563,700,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/58e65a70-2bf5-11e7-81b5-50e549439ffb.JPEG,Стиральные машины
Насос сливной посудомоечной машины,HANSA,1015860,1500,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/30345e64-488a-11e0-8b15-002215572351.JPEG,Посудомоечные машины
Электроклапан заливной (впускной) стиральной машины,CANDY,41027088,1500,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/3a2fee91-4422-11e6-bb39-50e549439ffb.JPEG,Стиральные машины
Прессователь кофемашины,DELONGHI,5513227961,5700,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/b21e6cbe-70c2-11e6-a083-50e549439ffb.JPEG,"Кофемашины, кофеварки, кофемолки"
Мотор стиральной машины,CANDY,46000183,5000,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/ac198d49-6c12-11e6-a083-50e549439ffb.JPEG,Стиральные машины
"Нагревательный элемент (ТЭН) 1000Вт L400mm ""сухой"" водонагревателя",Универсальные,3401274,900,"Для водонагревателей Electrolux, Gorenge, AEG Производитель RES.CANDELA.  Мощность 1000 Вт.  Длина 400 мм (до изгиба).  Длина с контактами 440 мм  Диаметр 12 мм. ""сухой"".",https://www.bliz.ru/data/image/catalog/df957e67-9630-11e8-9631-0080482c1b0a.JPEG,Водонагреватели электрические (накопительные и проточные)
Мотор стиральной машины,WHIRLPOOL,480188800155,6300,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/30ed3fd6-bb8c-11e6-a727-50e549439ffb.JPEG,Стиральные машины
Элемент нагревательный (ТЭН) 700Вт водонагревателя,THERMEX,000600,1400,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/86b6e799-e68a-11e5-9518-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
Фланец в сборе с ТЭНами 2000W для EWH Centurio IQ 2.0 водонагревателя,ELECTROLUX,WH-20.02,2700,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/b75d43c7-8598-11e8-9631-0080482c1b0a.JPEG,Водонагреватели электрические (накопительные и проточные)
Термостат с двойной защитой 105 гр. (04) водонагревателя,THERMEX,US066065,500,Термостат с двойной защитой на 105 гр.,https://www.bliz.ru/data/image/catalog/53eb70a7-df6d-11e5-b9bd-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
Элемент нагревательный (ТЭН) 2000Вт водонагревателя,METALAC BOJLER,111320,1100,это оригинальная фирменная деталь от Производителя,https://www.bliz.ru/data/image/catalog/8e3c2309-36d0-11e7-81b5-50e549439ffb.JPEG,Водонагреватели электрические (накопительные и проточные)
Замок люка стиральной машины,HANSA,1030043,2500,Замок люка стиральной машины Hansa,https://www.bliz.ru/data/image/catalog/8e5cd4cc-df7d-11e5-b9bd-50e549439ffb.JPEG,Стиральные машины
